account_id,customer_id,bank_name,branch_name,bank_code,swift_code,account_type,opening_date,balance,status,interest_rate,currency
ACC179005,CUS17974,ABSA,Durban Central,632005,ABSAZAJJ,Savings,2024-07-04,512176.04,Active,10.75,ZAR
ACC626206,CUS17974,Capitec,Centurion,470010,CABLZAJJ,Savings,2022-10-07,765150.94,Active,9.13,ZAR
ACC828223,CUS82460,TymeBank,Digital,678910,TYMEZAJJ,Investment,2022-07-06,891472.1,Active,11.64,ZAR
ACC504616,CUS82460,Standard Bank,Century City,051001,SBZAZAJJ,Credit Card,2020-10-22,314054.87,Active,4.15,ZAR
ACC694276,CUS67558,Nedbank,Musgrave,198765,NEDSZAJJ,Current,2022-09-19,802813.5,Closed,11.27,ZAR
ACC252278,CUS11140,Discovery Bank,Sea Point,679000,DISCJJ,Home Loan,2021-11-27,191068.41,Active,9.25,ZAR
ACC566645,CUS11140,Capitec,Midrand,470010,CABLZAJJ,Home Loan,2024-10-14,6139.56,Active,3.87,ZAR
ACC485127,CUS11140,FNB,Fourways,250655,FIRNZAJJ,Credit Card,2022-04-24,762838.41,Active,10.59,ZAR
ACC840091,CUS35664,Capitec,Midrand,470010,CABLZAJJ,Savings,2024-06-23,61766.46,Closed,8.96,ZAR
ACC559859,CUS73121,ABSA,Durban Central,632005,ABSAZAJJ,Investment,2021-04-06,809935.59,Active,7.39,ZAR
ACC538630,CUS73121,Nedbank,Hatfield,198765,NEDSZAJJ,Home Loan,2020-05-02,624964.82,Active,11.71,ZAR
ACC188545,CUS73121,Discovery Bank,Lynnwood,679000,DISCJJ,Home Loan,2020-02-29,243120.8,Active,3.9,ZAR
ACC604258,CUS73121,ABSA,Sandton,632005,ABSAZAJJ,Investment,2021-03-17,486265.95,Active,4.34,ZAR
ACC943441,CUS15231,ABSA,Durban Central,632005,ABSAZAJJ,Investment,2024-06-22,55100.58,Active,4.89,ZAR
ACC561201,CUS15231,Discovery Bank,Sea Point,679000,DISCJJ,Investment,2022-11-19,335338.28,Active,8.98,ZAR
ACC486225,CUS15231,Standard Bank,Brooklyn,051001,SBZAZAJJ,Investment,2021-12-14,173588.78,Active,5.14,ZAR
ACC465333,CUS24502,Discovery Bank,Ballito,679000,DISCJJ,Savings,2023-08-28,224572.7,Active,10.32,ZAR
ACC556322,CUS24502,Nedbank,Hatfield,198765,NEDSZAJJ,Current,2020-11-11,88725.87,Active,3.69,ZAR
ACC341552,CUS24502,Capitec,Pinetown,470010,CABLZAJJ,Current,2024-07-22,920341.61,Active,7.05,ZAR
ACC194590,CUS24502,TymeBank,Digital,678910,TYMEZAJJ,Credit Card,2020-05-21,530798.13,Active,10.71,ZAR
ACC377214,CUS25275,Standard Bank,Brooklyn,051001,SBZAZAJJ,Savings,2023-07-16,606250.12,Dormant,10.73,ZAR
ACC403315,CUS25275,Discovery Bank,Sandton,679000,DISCJJ,Current,2024-01-29,609456.36,Dormant,9.71,ZAR
ACC128612,CUS25275,FNB,Fourways,250655,FIRNZAJJ,Investment,2024-11-04,274981.97,Closed,4.63,ZAR
ACC145909,CUS25275,Capitec,Pinetown,470010,CABLZAJJ,Investment,2023-01-23,712054.92,Active,10.81,ZAR
ACC971659,CUS62980,ABSA,Cape Town CBD,632005,ABSAZAJJ,Savings,2021-09-22,692880.61,Active,9.85,ZAR
ACC303672,CUS62980,Standard Bank,Brooklyn,051001,SBZAZAJJ,Credit Card,2024-02-26,965091.5,Dormant,10.12,ZAR
ACC372953,CUS37665,Nedbank,Musgrave,198765,NEDSZAJJ,Savings,2021-08-13,692415.26,Closed,9.7,ZAR
ACC535711,CUS31859,ABSA,Pretoria Central,632005,ABSAZAJJ,Credit Card,2024-10-13,213310.52,Closed,11.0,ZAR
ACC140408,CUS62167,FNB,Tyger Valley,250655,FIRNZAJJ,Investment,2021-11-27,495710.02,Closed,11.21,ZAR
ACC545950,CUS62167,Capitec,Pinetown,470010,CABLZAJJ,Investment,2024-08-15,245820.14,Dormant,9.73,ZAR
ACC775740,CUS35138,Discovery Bank,Sea Point,679000,DISCJJ,Savings,2022-01-08,598585.69,Active,8.54,ZAR
ACC403524,CUS35138,Standard Bank,Rosebank,051001,SBZAZAJJ,Current,2022-03-06,180999.72,Active,10.27,ZAR
ACC237047,CUS35138,Capitec,Centurion,470010,CABLZAJJ,Savings,2022-06-25,784877.44,Closed,7.11,ZAR
ACC219739,CUS80059,ABSA,Pretoria Central,632005,ABSAZAJJ,Credit Card,2020-08-04,431629.25,Closed,11.3,ZAR
ACC874222,CUS80059,Nedbank,Rivonia,198765,NEDSZAJJ,Investment,2022-01-31,127531.68,Closed,9.34,ZAR
ACC625164,CUS80059,Discovery Bank,Ballito,679000,DISCJJ,Home Loan,2024-06-07,891002.27,Closed,7.38,ZAR
ACC247783,CUS80059,Capitec,Centurion,470010,CABLZAJJ,Home Loan,2021-10-11,265834.86,Active,10.22,ZAR
ACC869697,CUS13610,Standard Bank,Rosebank,051001,SBZAZAJJ,Investment,2022-01-17,427089.86,Dormant,6.94,ZAR
ACC297431,CUS13610,ABSA,Cape Town CBD,632005,ABSAZAJJ,Credit Card,2020-08-24,836516.81,Active,9.58,ZAR
ACC404370,CUS13610,Nedbank,Rivonia,198765,NEDSZAJJ,Investment,2021-11-28,62164.51,Closed,10.01,ZAR
ACC446072,CUS11519,Nedbank,Musgrave,198765,NEDSZAJJ,Credit Card,2020-11-11,853321.8,Closed,4.99,ZAR
ACC826343,CUS11519,Standard Bank,Umhlanga,051001,SBZAZAJJ,Current,2022-03-27,874761.75,Closed,7.27,ZAR
ACC937630,CUS11519,Nedbank,Rivonia,198765,NEDSZAJJ,Credit Card,2021-03-16,861364.9,Closed,10.62,ZAR
