customer_code,first_name,last_name,id_number,date_of_birth,gender,email,phone_number,province,city,postal_code,income_bracket,employment_status,credit_score,primary_bank,primary_branch
CUS17974,Katie,Meyers,8011249180,1974-04-11,F,katie.meyers@gmail.com,+270818320954,North West,Kimberley,6044,500K-1M,Self-employed,757,FNB,Fourways
CUS82460,Cindy,Craig,9712132085,1979-03-19,F,cindy.craig@gmail.com,+270613398674,Gauteng,East London,3838,250K-500K,Student,776,Standard Bank,Century City
CUS67558,Christine,Wise,9606153087,1969-09-08,M,christine.wise@gmail.com,+270642188539,Free State,Cape Town,7885,250K-500K,Retired,322,Discovery Bank,Lynnwood
CUS11140,Thomas,White,7406162180,1996-05-04,F,thomas.white@yahoo.com,+270833951462,Northern Cape,East London,2049,500K-1M,Student,449,TymeBank,Digital
CUS35664,Jim,Oneill,7907088089,1948-07-26,M,jim.oneill@outlook.com,+270644592724,North West,Kimberley,4609,250K-500K,Self-employed,508,Standard Bank,Century City
CUS73121,Lisa,Reid,7207108184,1974-09-25,F,lisa.reid@outlook.com,+270722391672,Gauteng,Mbombela,1238,0-100K,Self-employed,623,FNB,Gateway
CUS15231,Nathaniel,Johnson,9801160089,1963-04-05,F,nathaniel.johnson@yahoo.com,+270618041364,Limpopo,Bloemfontein,2822,0-100K,Retired,838,Standard Bank,Rosebank
CUS24502,Jennifer,Boyd,9304259084,1971-01-16,F,jennifer.boyd@outlook.com,+270622406593,Mpumalanga,Johannesburg,7750,1M+,Self-employed,616,Discovery Bank,Lynnwood
CUS25275,Carolyn,Edwards,8901034089,1969-02-12,F,carolyn.edwards@gmail.com,+270640375858,KwaZulu-Natal,Durban,1806,0-100K,Self-employed,689,Standard Bank,Umhlanga
CUS62980,Katelyn,Higgins,9506097187,1943-06-05,M,katelyn.higgins@outlook.com,+270681433848,Gauteng,Bloemfontein,7020,1M+,Employed,795,Discovery Bank,Sandton
CUS37665,Mark,Stanley,7507213187,1998-09-14,M,mark.stanley@yahoo.com,+270617841179,KwaZulu-Natal,Cape Town,3082,100K-250K,Student,622,Discovery Bank,Sea Point
CUS31859,Daniel,Fisher,6612187080,1969-01-05,M,daniel.fisher@yahoo.com,+270718982139,Eastern Cape,Johannesburg,1440,100K-250K,Student,385,FNB,Fourways
CUS62167,Michelle,Pope,7604266185,1978-11-02,F,michelle.pope@yahoo.com,+270825699502,Northern Cape,Kimberley,2654,250K-500K,Self-employed,549,Standard Bank,Century City
CUS35138,Lori,Lopez,8505157080,1982-03-25,M,lori.lopez@outlook.com,+270679729837,Limpopo,Kimberley,3211,1M+,Retired,711,Discovery Bank,Sea Point
CUS80059,Mary,Williams,9804267089,1968-03-26,M,mary.williams@gmail.com,+270731709016,Western Cape,East London,4262,500K-1M,Student,332,FNB,Menlyn
CUS13610,David,Coleman,7403172088,1996-11-07,M,david.coleman@outlook.com,+270672101840,Western Cape,Gqeberha,4083,0-100K,Employed,438,ABSA,Pretoria Central
CUS11519,Kyle,Short,7901152086,1956-07-08,F,kyle.short@gmail.com,+270841345210,Northern Cape,Durban,5184,250K-500K,Self-employed,334,TymeBank,Digital
CUS93320,Brandon,Bishop,7102035082,1973-01-23,F,brandon.bishop@outlook.com,+270655576603,Northern Cape,Kimberley,6408,250K-500K,Student,632,Standard Bank,Rosebank
CUS69283,Mason,Williams,9101022181,1983-05-08,M,mason.williams@gmail.com,+270817095981,Mpumalanga,Mbombela,4274,500K-1M,Employed,719,TymeBank,Digital
CUS65719,Alyssa,Smith,8605098089,1947-10-17,F,alyssa.smith@yahoo.com,+270644459102,Western Cape,Johannesburg,3148,1M+,Retired,524,ABSA,Sandton
CUS93097,Joel,Sullivan,8311042088,1981-12-01,F,joel.sullivan@outlook.com,+270730289494,Gauteng,Polokwane,7504,250K-500K,Student,652,TymeBank,Digital
CUS20426,Patricia,Russo,7910213084,1960-04-23,M,patricia.russo@outlook.com,+270798096522,Gauteng,Johannesburg,9601,500K-1M,Student,401,Discovery Bank,Sandton
CUS46355,Jose,Barnes,8302162186,1961-05-22,M,jose.barnes@gmail.com,+270836195394,Limpopo,Kimberley,8954,1M+,Self-employed,791,FNB,Fourways
CUS21576,Benjamin,Moreno,9202243182,1948-12-01,M,benjamin.moreno@yahoo.com,+270830354329,Mpumalanga,Durban,5240,1M+,Retired,607,FNB,Gateway
CUS49756,Michael,Coleman,6703287080,2000-06-29,M,michael.coleman@gmail.com,+270634547148,KwaZulu-Natal,Polokwane,4026,250K-500K,Retired,787,ABSA,Durban Central
CUS30492,Alisha,Hernandez,9702264086,2005-06-22,M,alisha.hernandez@gmail.com,+270747553757,Eastern Cape,East London,6815,500K-1M,Retired,410,Capitec,Centurion
CUS94053,Eric,Cole,7405258081,1947-09-17,M,eric.cole@yahoo.com,+270794901537,Northern Cape,Durban,6965,500K-1M,Retired,667,Standard Bank,Brooklyn
